userId,movieId,rating,timestamp
toddbenson,Mystery of the Stars,5,2024-02-21 19:44:02
juan03,Journey Through Time,5,2024-07-27 02:42:36
andersonandre,The Dark Knight Returns,5,2024-01-16 16:29:50
gwalker,Journey Through Time,4,2024-06-28 02:14:55
dakotarogers,The Great Adventure,4,2024-06-06 01:36:39
lawsonbarbara,The Great Adventure,5,2024-01-04 15:20:51
kbell,Space Odyssey,5,2024-06-30 15:37:05
alexandercarolyn,Underwater Secrets,2,2024-01-21 15:58:45
vincent43,Mystery of the Stars,3,2024-03-02 08:21:23
toddbenson,Sunset Boulevard,1,2024-12-04 15:41:59
kimberly44,Underwater Secrets,2,2024-11-23 17:16:45
lanekatherine,The Great Adventure,2,2024-09-30 20:19:56
qmartin,The Dark Knight Returns,3,2024-07-12 18:26:10
whitethomas,The Last Stand,3,2024-03-10 05:55:15
thomasfreeman,Journey Through Time,5,2024-05-28 01:40:55
tsmith,Love in the Rain,4,2024-09-06 09:28:38
karen45,Underwater Secrets,1,2024-11-17 01:30:15
gwalker,Journey Through Time,3,2024-06-18 00:53:39
qmartin,Journey Through Time,3,2024-08-08 11:42:47
nicholasdawson,Mystery of the Stars,5,2024-09-23 23:29:46
robertskatelyn,Journey Through Time,4,2024-12-05 19:40:28
samanthaward,The Last Stand,2,2024-07-22 10:05:00
scott07,The Dark Knight Returns,5,2024-09-29 17:15:21
davisjoel,Underwater Secrets,1,2024-01-06 08:23:05
karen45,Sunset Boulevard,5,2024-03-16 17:25:21
matthewortiz,Mystery of the Stars,3,2024-09-16 12:14:23
joshua03,The Dark Knight Returns,5,2024-06-15 04:48:37
david21,The Last Stand,4,2024-10-11 12:39:46
ramoscarol,Love in the Rain,2,2024-12-10 12:48:25
mortonsuzanne,The Great Adventure,3,2024-02-09 20:43:15
toddbenson,The Great Adventure,1,2024-09-17 06:53:18
juan03,Love in the Rain,1,2024-10-05 05:50:15
jonestracy,Mystery of the Stars,4,2024-07-22 22:53:51
kimberly44,The Last Stand,1,2024-08-08 09:12:49
davisjoel,Journey Through Time,2,2024-09-18 17:04:56
robertcurry,Underwater Secrets,4,2024-03-27 22:18:17
matthewsanchez,Underwater Secrets,1,2024-02-25 10:15:33
reidbetty,Journey Through Time,4,2024-08-03 01:53:41
dianariggs,Underwater Secrets,3,2024-07-14 23:34:10
casey59,Underwater Secrets,3,2024-08-12 10:45:15
shafferbreanna,Mystery of the Stars,2,2024-03-12 00:49:45
sharon97,The Great Adventure,1,2024-12-07 20:47:05
david21,Journey Through Time,3,2024-12-11 11:41:06
tvazquez,Mystery of the Stars,4,2024-11-09 19:14:49
johnlawson,Underwater Secrets,1,2024-01-17 18:00:49
dominguezandrea,The Dark Knight Returns,3,2024-06-21 04:13:10
ejohnson,The Great Adventure,2,2024-03-31 13:52:05
lanekatherine,Underwater Secrets,4,2024-10-15 17:16:54
wcochran,The Great Adventure,3,2024-11-21 18:27:18
matthew45,The Great Adventure,2,2024-01-31 20:42:19
tapiamelissa,Love in the Rain,5,2024-05-18 01:32:02
mortonsuzanne,The Dark Knight Returns,5,2024-04-28 20:28:04
kennethjohnson,Alien Invasion,4,2024-09-09 19:21:54
alexandercarolyn,Love in the Rain,1,2024-03-27 02:36:35
andersonandre,The Dark Knight Returns,3,2024-10-07 06:41:09
william10,Underwater Secrets,2,2024-09-24 07:10:00
robertmoreno,The Great Adventure,5,2024-07-03 20:52:22
tammiematthews,Alien Invasion,3,2024-09-27 20:44:56
samantharodriguez,The Last Stand,3,2024-06-01 20:02:08
vincent43,The Last Stand,1,2024-05-14 00:38:03
pbriggs,The Dark Knight Returns,3,2024-10-03 10:45:15
robertskatelyn,Love in the Rain,5,2024-12-17 02:55:44
lsmith,Love in the Rain,1,2024-03-03 05:19:47
sharon97,Journey Through Time,2,2024-08-05 04:41:42
mary74,Alien Invasion,1,2024-02-15 16:38:21
hurstteresa,Mystery of the Stars,1,2024-03-04 01:04:30
alisha12,Underwater Secrets,4,2024-06-12 09:03:07
elizabethmurphy,Journey Through Time,4,2024-12-11 16:32:16
robertmoreno,The Dark Knight Returns,3,2024-07-05 04:21:32
robertskatelyn,Mystery of the Stars,1,2024-08-11 02:39:35
ramoscarol,The Great Adventure,3,2024-04-13 00:50:04
morrisonroy,Journey Through Time,2,2024-02-04 05:23:30
cbenjamin,Mystery of the Stars,1,2024-07-03 07:43:52
fmiddleton,Journey Through Time,5,2024-01-20 11:11:36
joneskarl,Journey Through Time,5,2024-08-25 06:17:47
vaughndavid,Mystery of the Stars,1,2024-05-25 05:50:49
kennethschmidt,Mystery of the Stars,4,2024-10-19 16:34:25
randy79,Mystery of the Stars,2,2024-09-18 16:49:31
karen45,Alien Invasion,4,2024-02-16 19:27:43
hurstteresa,Journey Through Time,3,2024-09-07 20:46:26
bethanysmith,The Great Adventure,2,2024-09-01 16:23:30
juan03,The Dark Knight Returns,2,2024-01-18 06:20:35
casey59,The Dark Knight Returns,5,2024-07-06 04:35:20
qmartin,Alien Invasion,1,2024-03-09 12:14:03
alexandercarolyn,Alien Invasion,2,2024-10-29 09:44:48
reidbetty,Underwater Secrets,4,2024-05-04 12:16:18
matthewsanchez,Underwater Secrets,2,2024-04-18 17:56:23
robertskatelyn,Mystery of the Stars,5,2024-02-22 03:07:46
johnlawson,Love in the Rain,2,2024-06-18 22:53:22
qmartin,The Great Adventure,5,2024-12-07 18:55:37
nporter,Journey Through Time,1,2024-08-27 11:55:42
mvazquez,Space Odyssey,4,2024-03-13 04:28:04
mary74,Sunset Boulevard,1,2024-03-01 22:53:42
kennethjohnson,Love in the Rain,4,2024-05-03 11:56:40
joshua03,The Last Stand,1,2024-05-03 03:07:48
matthewortiz,Journey Through Time,4,2024-03-23 02:44:10
dakotarogers,Journey Through Time,2,2024-12-01 06:56:24
andersonandre,Journey Through Time,4,2024-08-23 09:01:22
qmartin,Underwater Secrets,3,2024-10-06 23:08:52
dominguezandrea,The Dark Knight Returns,2,2024-01-27 16:03:26
wcochran,Underwater Secrets,5,2024-12-03 06:28:32
kennethjohnson,Journey Through Time,2,2024-02-15 02:06:06
tvazquez,Alien Invasion,1,2024-04-01 22:58:55
william10,The Last Stand,1,2024-02-17 17:58:43
matthewortiz,Love in the Rain,5,2024-01-17 09:25:00
qmartin,The Dark Knight Returns,1,2024-02-29 00:38:27
jonesmary,Journey Through Time,2,2024-07-12 17:56:50
henrypamela,The Last Stand,2,2024-08-07 08:54:58
lsmith,Alien Invasion,2,2024-02-13 22:08:10
tsmith,Love in the Rain,1,2024-08-31 13:47:46
alexandercarolyn,Mystery of the Stars,4,2024-09-24 10:28:08
ramoscarol,The Last Stand,3,2024-11-13 14:19:05
elizabethmurphy,Alien Invasion,5,2024-03-09 01:09:09
scott07,Alien Invasion,3,2024-05-26 23:04:08
karen45,Alien Invasion,1,2024-10-06 03:49:45
